from_iso3,to_iso3,sector_group_short_name,value
DEU,FRA,AG,14578.22137
DEU,FRA,RM,28514.03582
DEU,FRA,MH,42096.59628
DEU,FRA,ML,32827.03528
DEU,GBR,AG,19034.42958
DEU,GBR,RM,49995.4031
DEU,GBR,MH,19919.85041
DEU,GBR,ML,20085.91794
FRA,DEU,AG,35893.20284
FRA,DEU,RM,3560.23692
FRA,DEU,MH,37625.39602
FRA,DEU,ML,17130.18214
FRA,GBR,AG,38884.22039
FRA,GBR,RM,9728.419854
FRA,GBR,MH,37629.54628
FRA,GBR,ML,11933.53667
GBR,DEU,AG,3061.466627
GBR,DEU,RM,41062.69301
GBR,DEU,MH,34716.92324
GBR,DEU,ML,5479.198381
GBR,FRA,AG,14744.42447
GBR,FRA,RM,3182.252965
GBR,FRA,MH,42324.76015
GBR,FRA,ML,36803.29012
USA,GBR,MH,23900